onset	duration	trial_type	stimulus	prompt	response	response_time
3.015	1.5	Self	stimuli/task-sorpf/self.png	uptight	1.0	0.362
7.642	1.5	Self	stimuli/task-sorpf/self.png	concerned	1.0	0.327
12.229	1.5	Self	stimuli/task-sorpf/self.png	conscientious	1.0	0.889
17.096	1.5	Self	stimuli/task-sorpf/self.png	dramatic	1.0	0.325
21.656	1.5	Self	stimuli/task-sorpf/self.png	easy_to_talk_to	1.0	0.546
26.416	1.5	Self	stimuli/task-sorpf/self.png	helps_others	1.0	0.346
31.122	1.5	Self	stimuli/task-sorpf/self.png	thinks_analytically	1.0	0.344
35.98900000000001	1.5	Self	stimuli/task-sorpf/self.png	standoffish	2.0	0.364
42.82899999999999	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.617
46.229	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1.0	0.551
48.736	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1.0	0.5529999999999999
51.243	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.524
54.549	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.517
67.60300000000001	1.5	Other	stimuli/task-sorpf/characters/JoyceByers.png	JoyceByers_standoffish	1.0	1.3219999999999998
72.123	1.5	Other	stimuli/task-sorpf/characters/DustinHenderson.png	DustinHenderson_anxious	2.0	0.374
76.683	1.5	Other	stimuli/task-sorpf/characters/SteveHarrington.png	SteveHarrington_has_gross_body_odor	2.0	0.457
81.23	1.5	Other	stimuli/task-sorpf/characters/JonathanByers.png	JonathanByers_in_good_shape	1.0	0.8170000000000001
86.19	1.5	Other	stimuli/task-sorpf/characters/JimHopper.png	JimHopper_sneaky	1.0	0.3229999999999999
90.99	1.5	Other	stimuli/task-sorpf/characters/MikeWheeler.png	MikeWheeler_uptight	1.0	0.58
95.67	1.5	Other	stimuli/task-sorpf/characters/LucasSinclair.png	LucasSinclair_thinks_analytically	1.0	0.353
100.323	1.5	Other	stimuli/task-sorpf/characters/Eleven.png	Eleven_has_a_best_friend	2.0	0.328
107.096	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	n/a	n/a
110.003	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	n/a	n/a
114.203	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1.0	0.416
118.31	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.495
121.11	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.632
136.563	1.5	Malleable	stimuli/task-sorpf/strangers/erik-lucatero-d2MSDujJl2g-unsplash.png	erik-lucatero-d2MSDujJl2g-unsplash_pulls_pranks	1.0	0.154
142.123	1.5	Malleable	stimuli/task-sorpf/strangers/oliver-ragfelt-s5zc3NyWVRI-unsplash.png	oliver-ragfelt-s5zc3NyWVRI-unsplash_fun-loving	2.0	0.816
147.083	1.5	Malleable	stimuli/task-sorpf/strangers/ratiu-bia-7fzINre0NQE-unsplash.png	ratiu-bia-7fzINre0NQE-unsplash_concerned	2.0	0.905
152.23	1.5	Malleable	stimuli/task-sorpf/strangers/austin-human-Ec7cHN7ofi0-unsplash.png	austin-human-Ec7cHN7ofi0-unsplash_thinks_analytically	1.0	0.247
157.55	1.5	Malleable	stimuli/task-sorpf/strangers/azamat-zhanisov-kWKcLFCHD6w-unsplash.png	azamat-zhanisov-kWKcLFCHD6w-unsplash_competitive	1.0	0.276
162.77700000000004	1.5	Malleable	stimuli/task-sorpf/strangers/emile-guillemot-LSP9Tpavbms-unsplash.png	emile-guillemot-LSP9Tpavbms-unsplash_honest	1.0	0.481
167.75	1.5	Malleable	stimuli/task-sorpf/strangers/kelly-sikkema-JN0SUcTOig0-unsplash.png	kelly-sikkema-JN0SUcTOig0-unsplash_sensitive	2.0	0.273
173.524	1.5	Malleable	stimuli/task-sorpf/strangers/stefan-stefancik-QXevDflbl8A-unsplash.png	stefan-stefancik-QXevDflbl8A-unsplash_conscientious	1.0	0.431
179.55	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1.0	0.735
182.657	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1.0	0.542
185.764	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.636
188.67	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.5710000000000001
191.177	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.476
207.124	1.5	Self	stimuli/task-sorpf/self.png	sneaky	2.0	0.276
212.044	1.5	Self	stimuli/task-sorpf/self.png	pulls_pranks	2.0	0.901
216.724	1.5	Self	stimuli/task-sorpf/self.png	brave	2.0	0.467
221.671	1.5	Self	stimuli/task-sorpf/self.png	friendless	2.0	0.3
226.68400000000003	1.5	Self	stimuli/task-sorpf/self.png	goofs_off	1.0	0.352
231.631	1.5	Self	stimuli/task-sorpf/self.png	weak-willed	2.0	0.344
236.191	1.5	Self	stimuli/task-sorpf/self.png	competitive	1.0	0.456
240.831	1.5	Self	stimuli/task-sorpf/self.png	honest	1.0	0.386
247.818	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.598
251.524	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.511
255.724	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.496
259.831	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1.0	0.423
262.938	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1.0	0.6920000000000001
279.071	1.5	Other	stimuli/task-sorpf/characters/NancyWheeler.png	NancyWheeler_goofs_off	2.0	0.301
283.8040000000001	1.5	Other	stimuli/task-sorpf/characters/SteveHarrington.png	SteveHarrington_a_good_leader	2.0	0.272
288.485	1.5	Other	stimuli/task-sorpf/characters/JoyceByers.png	JoyceByers_easy_to_talk_to	1.0	0.201
293.365	1.5	Other	stimuli/task-sorpf/characters/LucasSinclair.png	LucasSinclair_has_a_weird_nose	2.0	0.229
298.218	1.5	Other	stimuli/task-sorpf/characters/DustinHenderson.png	DustinHenderson_studious	1.0	0.358
303.098	1.5	Other	stimuli/task-sorpf/characters/Eleven.png	Eleven_fast_learner	1.0	0.3
308.071	1.5	Other	stimuli/task-sorpf/characters/JonathanByers.png	JonathanByers_loner	1.0	0.336
312.658	1.5	Other	stimuli/task-sorpf/characters/MikeWheeler.png	MikeWheeler_friendless	2.0	0.38
319.431	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.532
322.632	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2.0	0.471
325.832	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	n/a	n/a
329.63199999999995	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2.0	0.509
333.63199999999995	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1.0	0.6890000000000001
349.392	1.5	Malleable	stimuli/task-sorpf/strangers/luis-villasmil-hh3ViD0r0Rc-unsplash.png	luis-villasmil-hh3ViD0r0Rc-unsplash_studious	1.0	0.545
354.792	1.5	Malleable	stimuli/task-sorpf/strangers/erik-lucatero-d2MSDujJl2g-unsplash.png	erik-lucatero-d2MSDujJl2g-unsplash_proper	1.0	0.51
359.9380000000001	1.5	Malleable	stimuli/task-sorpf/strangers/oliver-ragfelt-s5zc3NyWVRI-unsplash.png	oliver-ragfelt-s5zc3NyWVRI-unsplash_uptight	1.0	0.303
364.859	1.5	Malleable	stimuli/task-sorpf/strangers/ratiu-bia-7fzINre0NQE-unsplash.png	ratiu-bia-7fzINre0NQE-unsplash_friendly	1.0	0.927
369.885	1.5	Malleable	stimuli/task-sorpf/strangers/austin-human-Ec7cHN7ofi0-unsplash.png	austin-human-Ec7cHN7ofi0-unsplash_standoffish	1.0	0.502
375.085	1.5	Malleable	stimuli/task-sorpf/strangers/azamat-zhanisov-kWKcLFCHD6w-unsplash.png	azamat-zhanisov-kWKcLFCHD6w-unsplash_smart	2.0	1.021
380.405	1.5	Malleable	stimuli/task-sorpf/strangers/emile-guillemot-LSP9Tpavbms-unsplash.png	emile-guillemot-LSP9Tpavbms-unsplash_popular	1.0	0.605
