onset	duration	trial_type	stim_file	prompt	response	response_time
3.008	1.5	Self	stimuli/task-sorpf/self.png	anxious	1	0.392
7.715	1.5	Self	stimuli/task-sorpf/self.png	socially_awkward	1	0.338
12.488	1.5	Self	stimuli/task-sorpf/self.png	closed_off	1	0.763
17.435	1.5	Self	stimuli/task-sorpf/self.png	friendly	1	0.314
22.168000000000006	1.5	Self	stimuli/task-sorpf/self.png	too_skinny	2	0.388
26.795	1.5	Self	stimuli/task-sorpf/self.png	tells_lies	2	0.314
31.435	1.5	Self	stimuli/task-sorpf/self.png	a_bad_friend	2	0.332
36.008	1.5	Self	stimuli/task-sorpf/self.png	has_a_weird_nose	2	0.54
42.702	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.606
46.808	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1	0.575
50.808	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.586
54.915	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1	0.581
58.315	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.509
72.502	1.5	Other	stimuli/task-sorpf/characters/NancyWheeler.png	NancyWheeler_vain	1	0.613
77.502	1.5	Other	stimuli/task-sorpf/characters/MikeWheeler.png	MikeWheeler_weak-willed	2	0.281
82.169	1.5	Other	stimuli/task-sorpf/characters/JoyceByers.png	JoyceByers_friendly	2	1.007
86.969	1.5	Other	stimuli/task-sorpf/characters/DustinHenderson.png	DustinHenderson_helps_others	1	0.272
91.822	1.5	Other	stimuli/task-sorpf/characters/Eleven.png	Eleven_brave	1	0.3670000000000001
96.529	1.5	Other	stimuli/task-sorpf/characters/LucasSinclair.png	LucasSinclair_dramatic	1	0.736
101.289	1.5	Other	stimuli/task-sorpf/characters/SteveHarrington.png	SteveHarrington_popular	1	0.358
106.169	1.5	Other	stimuli/task-sorpf/characters/JimHopper.png	JimHopper_a_bad_friend	1	0.295
113.102	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1	0.7240000000000001
116.902	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2	0.664
120.502	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.7390000000000001
123.409	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2	0.731
127.515	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	n/a	n/a
141.849	1.5	Malleable	stimuli/task-sorpf/strangers/erik-lucatero-d2MSDujJl2g-unsplash.png	erik-lucatero-d2MSDujJl2g-unsplash_pulls_pranks	1	0.358
146.95600000000005	1.5	Malleable	stimuli/task-sorpf/strangers/oliver-ragfelt-s5zc3NyWVRI-unsplash.png	oliver-ragfelt-s5zc3NyWVRI-unsplash_fun-loving	1	0.706
152.156	1.5	Malleable	stimuli/task-sorpf/strangers/ratiu-bia-7fzINre0NQE-unsplash.png	ratiu-bia-7fzINre0NQE-unsplash_concerned	1	0.295
157.582	1.5	Malleable	stimuli/task-sorpf/strangers/austin-human-Ec7cHN7ofi0-unsplash.png	austin-human-Ec7cHN7ofi0-unsplash_thinks_analytically	2	0.8290000000000001
163.116	1.5	Malleable	stimuli/task-sorpf/strangers/azamat-zhanisov-kWKcLFCHD6w-unsplash.png	azamat-zhanisov-kWKcLFCHD6w-unsplash_competitive	1	0.628
168.622	1.5	Malleable	stimuli/task-sorpf/strangers/emile-guillemot-LSP9Tpavbms-unsplash.png	emile-guillemot-LSP9Tpavbms-unsplash_honest	1	0.4920000000000001
173.476	1.5	Malleable	stimuli/task-sorpf/strangers/kelly-sikkema-JN0SUcTOig0-unsplash.png	kelly-sikkema-JN0SUcTOig0-unsplash_sensitive	2	1.271
179.142	1.5	Malleable	stimuli/task-sorpf/strangers/stefan-stefancik-QXevDflbl8A-unsplash.png	stefan-stefancik-QXevDflbl8A-unsplash_conscientious	1	0.363
185.169	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.518
189.569	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.515
192.769	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.499
195.969	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2	0.664
200.169	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.439
214.236	1.5	Self	stimuli/task-sorpf/self.png	proper	2	0.264
218.876	1.5	Self	stimuli/task-sorpf/self.png	critical	1	0.272
223.569	1.5	Self	stimuli/task-sorpf/self.png	poor_hygiene	2	0.408
228.116	1.5	Self	stimuli/task-sorpf/self.png	friendless	2	0.389
232.836	1.5	Self	stimuli/task-sorpf/self.png	has_weird_hobbies	1	0.322
237.463	1.5	Self	stimuli/task-sorpf/self.png	unattractive	2	0.506
242.383	1.5	Self	stimuli/task-sorpf/self.png	has_a_best_friend	1	0.362
247.196	1.5	Self	stimuli/task-sorpf/self.png	helps_others	1	0.28300000000000003
253.903	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.522
257.303	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/RightInCon.jpg	n/a	2	0.581
260.103	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.5329999999999999
264.103	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.531
268.41	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.54
284.65	1.5	Other	stimuli/task-sorpf/characters/JonathanByers.png	JonathanByers_cheats_on_tests	2	0.443
289.463	1.5	Other	stimuli/task-sorpf/characters/DustinHenderson.png	DustinHenderson_studious	1	0.585
294.423	1.5	Other	stimuli/task-sorpf/characters/JonathanByers.png	JonathanByers_mean	2	0.418
299.023	1.5	Other	stimuli/task-sorpf/characters/LucasSinclair.png	LucasSinclair_sensitive	1	0.399
303.583	1.5	Other	stimuli/task-sorpf/characters/JoyceByers.png	JoyceByers_passionate	1	0.301
308.33	1.5	Other	stimuli/task-sorpf/characters/Eleven.png	Eleven_has_a_best_friend	1	0.477
313.183	1.5	Other	stimuli/task-sorpf/characters/SteveHarrington.png	SteveHarrington_critical	1	0.311
317.997	1.5	Other	stimuli/task-sorpf/characters/JimHopper.png	JimHopper_has_weird_hobbies	1	0.858
324.597	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.7140000000000001
327.7030000000001	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.46
331.21	0.8	Flanker-Incongruent	stimuli/task-sorpf/arrows/LeftInCon.jpg	n/a	1	0.5489999999999999
333.81	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.475
336.81	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.536
353.57	1.5	Malleable	stimuli/task-sorpf/strangers/luis-villasmil-hh3ViD0r0Rc-unsplash.png	luis-villasmil-hh3ViD0r0Rc-unsplash_studious	1	0.473
359.05	1.5	Malleable	stimuli/task-sorpf/strangers/erik-lucatero-d2MSDujJl2g-unsplash.png	erik-lucatero-d2MSDujJl2g-unsplash_proper	1	0.301
364.37	1.5	Malleable	stimuli/task-sorpf/strangers/oliver-ragfelt-s5zc3NyWVRI-unsplash.png	oliver-ragfelt-s5zc3NyWVRI-unsplash_uptight	1	0.254
369.277	1.5	Malleable	stimuli/task-sorpf/strangers/ratiu-bia-7fzINre0NQE-unsplash.png	ratiu-bia-7fzINre0NQE-unsplash_friendly	1	0.7979999999999999
374.65	1.5	Malleable	stimuli/task-sorpf/strangers/austin-human-Ec7cHN7ofi0-unsplash.png	austin-human-Ec7cHN7ofi0-unsplash_standoffish	1	0.426
379.93	1.5	Malleable	stimuli/task-sorpf/strangers/azamat-zhanisov-kWKcLFCHD6w-unsplash.png	azamat-zhanisov-kWKcLFCHD6w-unsplash_smart	2	0.768
385.45	1.5	Malleable	stimuli/task-sorpf/strangers/emile-guillemot-LSP9Tpavbms-unsplash.png	emile-guillemot-LSP9Tpavbms-unsplash_popular	1	0.322
390.544	1.5	Malleable	stimuli/task-sorpf/strangers/kelly-sikkema-JN0SUcTOig0-unsplash.png	kelly-sikkema-JN0SUcTOig0-unsplash_friendless	1	0.35200000000000004
396.57	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.5539999999999999
399.277	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.458
402.584	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.498
405.584	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Right100.jpg	n/a	2	0.615
408.09	0.8	Flanker-Congruent	stimuli/task-sorpf/arrows/Left100.jpg	n/a	1	0.513
