onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right
8.078	2.5	Testing	BE	61	2.0	E	0.709	stimuli/6.jpeg	stimuli/5.jpeg	B	E
12.177999999999999	2.5	Testing	BF	62	n/a	n/a	0	stimuli/2.jpeg	stimuli/6.jpeg	F	B
17.878	2.5	Testing	DE	63	2.0	D	0.87	stimuli/5.jpeg	stimuli/3.jpeg	E	D
22.779	2.5	Testing	DF	64	2.0	D	1.097	stimuli/2.jpeg	stimuli/3.jpeg	F	D
26.279	2.5	Testing	AD	65	2.0	A	1.07	stimuli/3.jpeg	stimuli/1.jpeg	D	A
31.779	2.5	Testing	DE	66	2.0	E	0.87	stimuli/3.jpeg	stimuli/5.jpeg	D	E
36.279	2.5	Testing	BC	67	2.0	B	1.344	stimuli/4.jpeg	stimuli/6.jpeg	C	B
40.379	2.5	Testing	AD	68	1.0	D	1.251	stimuli/3.jpeg	stimuli/1.jpeg	D	A
46.07899999999999	2.5	Testing	AC	69	2.0	A	0.877	stimuli/4.jpeg	stimuli/1.jpeg	C	A
50.979	2.5	Testing	BD	70	1.0	D	0.95	stimuli/3.jpeg	stimuli/6.jpeg	D	B
56.479	2.5	Testing	AD	71	2.0	D	0.928	stimuli/1.jpeg	stimuli/3.jpeg	A	D
60.979	2.5	Testing	BE	72	2.0	E	0.683	stimuli/6.jpeg	stimuli/5.jpeg	B	E
64.479	2.5	Testing	BD	73	2.0	D	0.867	stimuli/6.jpeg	stimuli/3.jpeg	B	D
69.37899999999999	2.5	Testing	AF	74	2.0	A	0.662	stimuli/2.jpeg	stimuli/1.jpeg	F	A
72.87899999999999	2.5	Testing	BE	75	2.0	E	0.71	stimuli/6.jpeg	stimuli/5.jpeg	B	E
78.579	2.5	Testing	AC	76	1.0	A	0.81	stimuli/1.jpeg	stimuli/4.jpeg	A	C
83.079	2.5	Testing	BF	77	1.0	F	1.569	stimuli/2.jpeg	stimuli/6.jpeg	F	B
88.579	2.5	Testing	CF	78	2.0	F	1.223	stimuli/4.jpeg	stimuli/2.jpeg	C	F
92.679	2.5	Testing	AF	79	1.0	A	0.93	stimuli/1.jpeg	stimuli/2.jpeg	A	F
97.579	2.5	Testing	AF	80	1.0	A	0.899	stimuli/1.jpeg	stimuli/2.jpeg	A	F
103.279	2.5	Testing	CE	81	1.0	E	0.834	stimuli/5.jpeg	stimuli/4.jpeg	E	C
106.779	2.5	Testing	AC	82	2.0	A	1.078	stimuli/4.jpeg	stimuli/1.jpeg	C	A
112.279	2.5	Testing	AE	83	1.0	E	1.236	stimuli/5.jpeg	stimuli/1.jpeg	E	A
116.37899999999999	2.5	Testing	AD	84	1.0	D	0.806	stimuli/3.jpeg	stimuli/1.jpeg	D	A
120.87899999999999	2.5	Testing	BF	85	2.0	F	0.712	stimuli/6.jpeg	stimuli/2.jpeg	B	F
124.37899999999999	2.5	Testing	BD	86	1.0	D	1.038	stimuli/3.jpeg	stimuli/6.jpeg	D	B
128.48	2.5	Testing	AC	87	1.0	A	0.999	stimuli/1.jpeg	stimuli/4.jpeg	A	C
133.38	2.5	Testing	BF	88	2.0	F	0.781	stimuli/6.jpeg	stimuli/2.jpeg	B	F
139.08	2.5	Testing	AD	89	2.0	D	1.042	stimuli/1.jpeg	stimuli/3.jpeg	A	D
143.58	2.5	Testing	AE	90	2.0	E	0.969	stimuli/1.jpeg	stimuli/5.jpeg	A	E
149.08	2.5	Testing	DE	91	2.0	E	1.059	stimuli/3.jpeg	stimuli/5.jpeg	D	E
152.58	2.5	Testing	AC	92	1.0	A	0.794	stimuli/1.jpeg	stimuli/4.jpeg	A	C
157.48	2.5	Testing	AC	93	1.0	A	0.793	stimuli/1.jpeg	stimuli/4.jpeg	A	C
161.58	2.5	Testing	DE	94	2.0	E	0.646	stimuli/3.jpeg	stimuli/5.jpeg	D	E
167.08	2.5	Testing	AE	95	1.0	E	0.812	stimuli/5.jpeg	stimuli/1.jpeg	E	A
