onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right
8.08	2.5	Testing	BE	61	1	E	1.389	stimuli/4.jpeg	stimuli/2.jpeg	E	B
11.58	2.5	Testing	BD	62	1	D	0.826	stimuli/3.jpeg	stimuli/2.jpeg	D	B
17.28	2.5	Testing	AD	63	1	A	1.587	stimuli/1.jpeg	stimuli/3.jpeg	A	D
21.38	2.5	Testing	AC	64	2	A	0.5720000000000001	stimuli/5.jpeg	stimuli/1.jpeg	C	A
25.88	2.5	Testing	BD	65	2	D	0.7190000000000001	stimuli/2.jpeg	stimuli/3.jpeg	B	D
30.78	2.5	Testing	AD	66	1	A	0.779	stimuli/1.jpeg	stimuli/3.jpeg	A	D
36.28	2.5	Testing	DE	67	1	D	2.0269999999999997	stimuli/3.jpeg	stimuli/4.jpeg	D	E
40.78	2.5	Testing	AC	68	1	A	0.52	stimuli/1.jpeg	stimuli/5.jpeg	A	C
44.28	2.5	Testing	BE	69	1	E	0.9209999999999999	stimuli/4.jpeg	stimuli/2.jpeg	E	B
48.38	2.5	Testing	BE	70	2	E	0.607	stimuli/2.jpeg	stimuli/4.jpeg	B	E
53.881	2.5	Testing	AE	71	1	E	1.379	stimuli/4.jpeg	stimuli/1.jpeg	E	A
58.781000000000006	2.5	Testing	AF	72	1	A	0.8029999999999999	stimuli/1.jpeg	stimuli/6.jpeg	A	F
64.48100000000001	2.5	Testing	BD	73	1	D	0.73	stimuli/3.jpeg	stimuli/2.jpeg	D	B
68.98100000000001	2.5	Testing	BC	74	1	C	0.978	stimuli/5.jpeg	stimuli/2.jpeg	C	B
74.681	2.5	Testing	DF	75	1	D	1.026	stimuli/3.jpeg	stimuli/6.jpeg	D	F
78.181	2.5	Testing	BE	76	1	E	0.7609999999999999	stimuli/4.jpeg	stimuli/2.jpeg	E	B
83.681	2.5	Testing	DE	77	1	E	1.271	stimuli/4.jpeg	stimuli/3.jpeg	E	D
88.581	2.5	Testing	BF	78	2	F	1.197	stimuli/2.jpeg	stimuli/6.jpeg	B	F
92.681	2.5	Testing	AC	79	1	A	0.6809999999999999	stimuli/1.jpeg	stimuli/5.jpeg	A	C
97.181	2.5	Testing	AF	80	1	A	0.6809999999999999	stimuli/1.jpeg	stimuli/6.jpeg	A	F
102.081	2.5	Testing	AF	81	1	A	0.733	stimuli/1.jpeg	stimuli/6.jpeg	A	F
105.581	2.5	Testing	AD	82	1	A	1.046	stimuli/1.jpeg	stimuli/3.jpeg	A	D
109.681	2.5	Testing	AE	83	1	E	1.401	stimuli/4.jpeg	stimuli/1.jpeg	E	A
115.181	2.5	Testing	CF	84	2	C	1.601	stimuli/6.jpeg	stimuli/5.jpeg	F	C
120.881	2.5	Testing	DE	85	1	D	0.7559999999999999	stimuli/3.jpeg	stimuli/4.jpeg	D	E
125.381	2.5	Testing	AD	86	2	A	1.577	stimuli/3.jpeg	stimuli/1.jpeg	D	A
129.481	2.5	Testing	AC	87	1	A	0.8390000000000001	stimuli/1.jpeg	stimuli/5.jpeg	A	C
135.181	2.5	Testing	DF	88	2	D	0.6729999999999999	stimuli/6.jpeg	stimuli/3.jpeg	F	D
140.681	2.5	Testing	BF	89	2	F	0.441	stimuli/2.jpeg	stimuli/6.jpeg	B	F
144.181	2.5	Testing	BF	90	1	F	0.654	stimuli/6.jpeg	stimuli/2.jpeg	F	B
149.08100000000002	2.5	Testing	CE	91	1	E	0.865	stimuli/4.jpeg	stimuli/5.jpeg	E	C
152.58100000000002	2.5	Testing	BF	92	2	F	0.787	stimuli/2.jpeg	stimuli/6.jpeg	B	F
157.08100000000002	2.5	Testing	AD	93	2	A	1.178	stimuli/3.jpeg	stimuli/1.jpeg	D	A
161.181	2.5	Testing	BC	94	1	B	0.662	stimuli/2.jpeg	stimuli/5.jpeg	B	C
166.88099999999997	2.5	Testing	DE	95	2	E	1.041	stimuli/3.jpeg	stimuli/4.jpeg	D	E
172.38099999999997	2.5	Testing	AF	96	2	A	0.732	stimuli/6.jpeg	stimuli/1.jpeg	F	A
177.28099999999998	2.5	Testing	CF	97	2	F	0.695	stimuli/5.jpeg	stimuli/6.jpeg	C	F
182.982	2.5	Testing	AC	98	1	A	0.517	stimuli/1.jpeg	stimuli/5.jpeg	A	C
187.482	2.5	Testing	AD	99	1	A	0.774	stimuli/1.jpeg	stimuli/3.jpeg	A	D
192.982	2.5	Testing	BF	100	1	F	0.682	stimuli/6.jpeg	stimuli/2.jpeg	F	B
196.482	2.5	Testing	AC	101	2	A	0.9840000000000001	stimuli/5.jpeg	stimuli/1.jpeg	C	A
201.382	2.5	Testing	AE	102	2	E	1.685	stimuli/1.jpeg	stimuli/4.jpeg	A	E
205.482	2.5	Testing	BE	103	2	E	0.813	stimuli/2.jpeg	stimuli/4.jpeg	B	E
208.982	2.5	Testing	BC	104	1	C	0.879	stimuli/5.jpeg	stimuli/2.jpeg	C	B
214.482	2.5	Testing	AF	105	2	A	0.899	stimuli/6.jpeg	stimuli/1.jpeg	F	A
218.582	2.5	Testing	AF	106	1	A	0.6890000000000001	stimuli/1.jpeg	stimuli/6.jpeg	A	F
223.082	2.5	Testing	BD	107	2	D	0.546	stimuli/2.jpeg	stimuli/3.jpeg	B	D
227.982	2.5	Testing	AF	108	1	A	0.9470000000000001	stimuli/1.jpeg	stimuli/6.jpeg	A	F
233.68200000000002	2.5	Testing	BC	109	2	C	0.7040000000000001	stimuli/2.jpeg	stimuli/5.jpeg	B	C
239.18200000000002	2.5	Testing	AE	110	2	E	1.1440000000000001	stimuli/1.jpeg	stimuli/4.jpeg	A	E
243.68200000000002	2.5	Testing	BF	111	2	F	0.705	stimuli/2.jpeg	stimuli/6.jpeg	B	F
247.782	2.5	Testing	DF	112	1	D	1.5	stimuli/3.jpeg	stimuli/6.jpeg	D	F
253.482	2.5	Testing	AE	113	2	E	0.8640000000000001	stimuli/1.jpeg	stimuli/4.jpeg	A	E
256.982	2.5	Testing	DF	114	1	D	1.09	stimuli/3.jpeg	stimuli/6.jpeg	D	F
261.882	2.5	Testing	CF	115	2	C	0.9009999999999999	stimuli/6.jpeg	stimuli/5.jpeg	F	C
267.582	2.5	Testing	CF	116	2	C	1.308	stimuli/6.jpeg	stimuli/5.jpeg	F	C
273.082	2.5	Testing	AE	117	2	E	1.074	stimuli/1.jpeg	stimuli/4.jpeg	A	E
276.582	2.5	Testing	BC	118	1	C	0.9159999999999999	stimuli/5.jpeg	stimuli/2.jpeg	C	B
281.082	2.5	Testing	BE	119	2	E	0.857	stimuli/2.jpeg	stimuli/4.jpeg	B	E
285.182	2.5	Testing	DF	120	2	D	0.7709999999999999	stimuli/6.jpeg	stimuli/3.jpeg	F	D
290.082	2.5	Testing	AC	121	2	A	1.161	stimuli/5.jpeg	stimuli/1.jpeg	C	A
295.582	2.5	Testing	CE	122	1	E	0.963	stimuli/4.jpeg	stimuli/5.jpeg	E	C
301.282	2.5	Testing	DF	123	2	D	0.97	stimuli/6.jpeg	stimuli/3.jpeg	F	D
305.382	2.5	Testing	BD	124	2	D	0.7609999999999999	stimuli/2.jpeg	stimuli/3.jpeg	B	D
310.282	2.5	Testing	CE	125	1	E	1.044	stimuli/4.jpeg	stimuli/5.jpeg	E	C
313.782	2.5	Testing	CF	126	1	C	1.176	stimuli/5.jpeg	stimuli/6.jpeg	C	F
318.283	2.5	Testing	AE	127	1	E	1.236	stimuli/4.jpeg	stimuli/1.jpeg	E	A
323.783	2.5	Testing	AE	128	2	E	1.018	stimuli/1.jpeg	stimuli/4.jpeg	A	E
327.88300000000004	2.5	Testing	BD	129	1	D	0.888	stimuli/3.jpeg	stimuli/2.jpeg	D	B
333.583	2.5	Testing	CE	130	2	E	0.9229999999999999	stimuli/5.jpeg	stimuli/4.jpeg	C	E
338.083	2.5	Testing	BD	131	1	D	0.732	stimuli/3.jpeg	stimuli/2.jpeg	D	B
342.983	2.5	Testing	BF	132	1	F	0.677	stimuli/6.jpeg	stimuli/2.jpeg	F	B
346.483	2.5	Testing	BC	133	2	C	1.014	stimuli/2.jpeg	stimuli/5.jpeg	B	C
352.18300000000005	2.5	Testing	BE	134	1	E	0.652	stimuli/4.jpeg	stimuli/2.jpeg	E	B
357.68300000000005	2.5	Testing	BE	135	2	E	1.0759999999999998	stimuli/2.jpeg	stimuli/4.jpeg	B	E
362.18300000000005	2.5	Testing	AD	136	1	D	1.0979999999999999	stimuli/3.jpeg	stimuli/1.jpeg	D	A
365.68300000000005	2.5	Testing	AF	137	2	A	0.883	stimuli/6.jpeg	stimuli/1.jpeg	F	A
370.583	2.5	Testing	AD	138	2	A	1.1740000000000002	stimuli/3.jpeg	stimuli/1.jpeg	D	A
374.68300000000005	2.5	Testing	AD	139	1	A	1.104	stimuli/1.jpeg	stimuli/3.jpeg	A	D
380.18300000000005	2.5	Testing	AC	140	2	A	0.693	stimuli/5.jpeg	stimuli/1.jpeg	C	A
385.083	2.5	Testing	AE	141	1	E	1.054	stimuli/4.jpeg	stimuli/1.jpeg	E	A
389.583	2.5	Testing	BF	142	1	F	0.961	stimuli/6.jpeg	stimuli/2.jpeg	F	B
393.68300000000005	2.5	Testing	BF	143	2	F	1.0659999999999998	stimuli/2.jpeg	stimuli/6.jpeg	B	F
397.18300000000005	2.5	Testing	AE	144	1	E	0.8190000000000001	stimuli/4.jpeg	stimuli/1.jpeg	E	A
402.88300000000004	2.5	Testing	BC	145	1	C	0.737	stimuli/5.jpeg	stimuli/2.jpeg	C	B
407.38300000000004	2.5	Testing	BD	146	2	D	0.7240000000000001	stimuli/2.jpeg	stimuli/3.jpeg	B	D
410.88300000000004	2.5	Testing	AF	147	2	A	1.072	stimuli/6.jpeg	stimuli/1.jpeg	F	A
415.783	2.5	Testing	CF	148	1	C	1.4680000000000002	stimuli/5.jpeg	stimuli/6.jpeg	C	F
421.483	2.5	Testing	BE	149	1	E	0.762	stimuli/4.jpeg	stimuli/2.jpeg	E	B
425.583	2.5	Testing	AD	150	1	D	1.244	stimuli/3.jpeg	stimuli/1.jpeg	D	A
431.083	2.5	Testing	BE	151	2	E	0.93	stimuli/2.jpeg	stimuli/4.jpeg	B	E
435.583	2.5	Testing	BC	152	2	C	1.199	stimuli/2.jpeg	stimuli/5.jpeg	B	C
439.083	2.5	Testing	AF	153	2	A	0.9570000000000001	stimuli/6.jpeg	stimuli/1.jpeg	F	A
444.583	2.5	Testing	DE	154	1	E	1.38	stimuli/4.jpeg	stimuli/3.jpeg	E	D
448.684	2.5	Testing	BD	155	2	D	0.73	stimuli/2.jpeg	stimuli/3.jpeg	B	D
454.384	2.5	Testing	CE	156	2	E	0.945	stimuli/5.jpeg	stimuli/4.jpeg	C	E
459.284	2.5	Testing	BC	157	1	C	0.93	stimuli/5.jpeg	stimuli/2.jpeg	C	B
462.784	2.5	Testing	BF	158	1	F	0.551	stimuli/6.jpeg	stimuli/2.jpeg	F	B
467.684	2.5	Testing	BC	159	2	C	0.742	stimuli/2.jpeg	stimuli/5.jpeg	B	C
471.784	2.5	Testing	AC	160	2	A	0.659	stimuli/5.jpeg	stimuli/1.jpeg	C	A
477.284	2.5	Testing	AC	161	1	A	0.726	stimuli/1.jpeg	stimuli/5.jpeg	A	C
482.98400000000004	2.5	Testing	DE	162	1	E	0.986	stimuli/4.jpeg	stimuli/3.jpeg	E	D
487.48400000000004	2.5	Testing	BD	163	1	D	0.588	stimuli/3.jpeg	stimuli/2.jpeg	D	B
492.384	2.5	Testing	CE	164	2	E	0.993	stimuli/5.jpeg	stimuli/4.jpeg	C	E
