onset	duration	trial_type	stimulus_pair	trial_number	correct_response	response	response_time	stim_file_left	stim_file_right	stim_type_left	stim_type_right
8.068999999999999	2.5	Testing	BF	61	2	B	1.104	stimuli/1.jpeg	stimuli/5.jpeg	F	B
12.969000000000001	2.5	Testing	AF	62	2	A	0.7440000000000001	stimuli/1.jpeg	stimuli/2.jpeg	F	A
18.469	2.5	Testing	CE	63	1	C	0.602	stimuli/4.jpeg	stimuli/3.jpeg	C	E
21.969	2.5	Testing	AD	64	2	A	0.759	stimuli/6.jpeg	stimuli/2.jpeg	D	A
26.069000000000003	2.5	Testing	BE	65	2	E	0.769	stimuli/5.jpeg	stimuli/3.jpeg	B	E
30.569000000000003	2.5	Testing	DE	66	1	E	1.033	stimuli/3.jpeg	stimuli/6.jpeg	E	D
36.269	2.5	Testing	BE	67	1	E	0.6759999999999999	stimuli/3.jpeg	stimuli/5.jpeg	E	B
39.769	2.5	Testing	BF	68	2	F	0.851	stimuli/5.jpeg	stimuli/1.jpeg	B	F
45.468999999999994	2.5	Testing	AF	69	1	A	0.6779999999999999	stimuli/2.jpeg	stimuli/1.jpeg	A	F
50.369	2.5	Testing	DF	70	2	D	0.504	stimuli/1.jpeg	stimuli/6.jpeg	F	D
55.869	2.5	Testing	BE	71	1	E	0.882	stimuli/3.jpeg	stimuli/5.jpeg	E	B
60.369	2.5	Testing	BF	72	2	F	0.899	stimuli/5.jpeg	stimuli/1.jpeg	B	F
64.469	2.5	Testing	BC	73	1	C	0.635	stimuli/4.jpeg	stimuli/5.jpeg	C	B
70.169	2.5	Testing	AF	74	1	A	1.002	stimuli/2.jpeg	stimuli/1.jpeg	A	F
75.07	2.5	Testing	BC	75	2	C	0.461	stimuli/5.jpeg	stimuli/4.jpeg	B	C
80.57	2.5	Testing	BF	76	1	F	0.763	stimuli/1.jpeg	stimuli/5.jpeg	F	B
85.07	2.5	Testing	AE	77	1	A	0.64	stimuli/2.jpeg	stimuli/3.jpeg	A	E
89.17	2.5	Testing	BC	78	2	C	0.467	stimuli/5.jpeg	stimuli/4.jpeg	B	C
92.67	2.5	Testing	AC	79	2	C	0.6809999999999999	stimuli/2.jpeg	stimuli/4.jpeg	A	C
96.77	2.5	Testing	AD	80	2	A	0.615	stimuli/6.jpeg	stimuli/2.jpeg	D	A
102.27	2.5	Testing	AE	81	1	A	0.535	stimuli/2.jpeg	stimuli/3.jpeg	A	E
